Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001319/00000001.MF4;Lower;2025-08-05T18:46:30+00:00;2025-08-05T18:57:51.712150+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001320/00000001.MF4;Lower;2025-08-05T18:58:35+00:00;2025-08-05T18:59:59.995800+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001320/00000002.MF4;Lower;2025-08-05T18:58:35+00:00;2025-08-05T19:01:45.107150+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001321/00000001.MF4;Lower;2025-08-05T19:01:52+00:00;2025-08-05T19:07:02.093850+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001322/00000001.MF4;Lower;2025-08-05T19:07:06+00:00;2025-08-05T19:29:49.765800+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001322/00000002.MF4;Lower;2025-08-05T19:07:06+00:00;2025-08-05T19:29:59.990350+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001322/00000003.MF4;Lower;2025-08-05T19:07:06+00:00;2025-08-05T19:31:14.809050+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001323/00000001.MF4;Lower;2025-08-05T19:31:21+00:00;2025-08-05T19:33:52.117450+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001324/00000001.MF4;Lower;2025-08-05T19:34:02+00:00;2025-08-05T19:43:03.507650+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001325/00000001.MF4;Lower;2025-08-05T19:43:26+00:00;2025-08-05T19:45:54.258300+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001326/00000001.MF4;Lower;2025-08-05T19:46:00+00:00;2025-08-05T19:58:01.590800+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001327/00000001.MF4;Lower;2025-08-05T20:00:23+00:00;2025-08-05T20:00:44.144950+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001328/00000001.MF4;Lower;2025-08-05T20:01:24+00:00;2025-08-05T20:03:50.296200+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001329/00000001.MF4;Lower;2025-08-05T20:03:56+00:00;2025-08-05T20:12:40.583100+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001330/00000001.MF4;Lower;2025-08-05T20:14:52+00:00;2025-08-05T20:22:24.071750+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001331/00000001.MF4;Lower;2025-08-05T20:22:29+00:00;2025-08-05T20:29:59.960550+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001331/00000002.MF4;Lower;2025-08-05T20:22:29+00:00;2025-08-05T20:30:11.277050+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001332/00000001.MF4;Lower;2025-08-05T20:30:21+00:00;2025-08-05T20:30:25.407550+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001333/00000001.MF4;Lower;2025-08-07T15:44:12+00:00;2025-08-07T15:48:02.835150+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001334/00000001.MF4;Lower;2025-08-07T15:56:32+00:00;2025-08-07T15:59:59.978750+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001334/00000002.MF4;Lower;2025-08-07T15:56:32+00:00;2025-08-07T16:21:07.578200+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001334/00000003.MF4;Lower;2025-08-07T15:56:32+00:00;2025-08-07T16:29:59.994400+00:00
